holeCards,commCards,Key,Value
"['D3', 'D9']","['S9', 'HQ', 'CK']",2000_93_2111_KQ993,0.616
"['D3', 'D9']","['S9', 'HQ', 'CJ']",2000_93_2111_QJ993,0.578
"['D3', 'D9']","['S9', 'HQ', 'CA']",2000_93_2111_AQ993,0.651
"['D3', 'D9']","['S9', 'HQ', 'HT']",2000_93_2210_QT993,0.548
"['D3', 'D9']","['S9', 'HQ', 'CQ']",2000_93_2111_QQ993,0.718
"['D3', 'D9']","['S9', 'HQ', 'DA']",2000_93_3110_AQ993,0.657
"['D3', 'D9']","['S9', 'HQ', 'D4']",2000_93_3110_Q9943,0.704
"['D3', 'D9']","['S9', 'HQ', 'CT']",2000_93_2111_QT993,0.556
"['D3', 'D9']","['S9', 'HQ', 'H9']",2000_93_2210_Q9993,0.909
"['D3', 'D9']","['S9', 'HQ', 'SQ']",2000_93_2210_QQ993,0.685
"['D3', 'D9']","['S9', 'HQ', 'D8']",2000_93_3110_Q9983,0.658
"['D3', 'D9']","['S9', 'HQ', 'D6']",2000_93_3110_Q9963,0.675
"['D3', 'D9']","['S9', 'HQ', 'D7']",2000_93_3110_Q9973,0.709
"['D3', 'D9']","['S9', 'HQ', 'D5']",2000_93_3110_Q9953,0.708
"['D3', 'D9']","['S9', 'HQ', 'D2']",2000_93_3110_Q9932,0.69
"['D3', 'D9']","['S9', 'S7', 'S6']",2000_93_3200_99763,0.585
"['D3', 'D9']","['S9', 'S7', 'S5']",2000_93_3200_99753,0.579
"['D3', 'D9']","['S9', 'S7', 'S4']",2000_93_3200_99743,0.574
"['D3', 'D9']","['S9', 'S7', 'HJ']",2000_93_2210_J9973,0.63
"['D3', 'D9']","['S9', 'S7', 'HK']",2000_93_2210_K9973,0.646
"['D3', 'D9']","['S9', 'S7', 'DT']",2000_93_3200_T9973,0.623
"['D3', 'D9']","['S9', 'S7', 'HA']",2000_93_2210_A9973,0.671
"['D3', 'D9']","['S9', 'S7', 'DQ']",2000_93_3200_Q9973,0.657
"['D3', 'D9']","['S9', 'S7', 'C9']",2000_93_2210_99973,0.891
"['D3', 'D9']","['S9', 'S7', 'H5']",2000_93_2210_99753,0.696
"['D3', 'D9']","['S9', 'S7', 'C7']",2000_93_2210_99773,0.674
