holeCards,commCards,Key,Value
"['D4', 'D5']","['S9', 'S3', 'D9']",2000_54_3200_99543,0.258
"['D4', 'D5']","['S9', 'S3', 'D3']",2000_54_3200_95433,0.222
"['D4', 'D5']","['S9', 'S2', 'HQ']",2000_54_2210_Q9542,0.16
"['D4', 'D5']","['S9', 'S2', 'S7']",2000_54_3200_97542,0.133
"['D4', 'D5']","['S9', 'S2', 'S6']",2000_54_3200_96542,0.254
"['D4', 'D5']","['S9', 'S2', 'S5']",2000_54_3200_95542,0.499
"['D4', 'D5']","['S9', 'S2', 'S4']",2000_54_3200_95442,0.513
"['D4', 'D5']","['S9', 'S2', 'HJ']",2000_54_2210_J9542,0.176
"['D4', 'D5']","['S9', 'S2', 'HK']",2000_54_2210_K9542,0.151
"['D4', 'D5']","['S9', 'S2', 'DT']",2000_54_3200_T9542,0.218
"['D4', 'D5']","['S9', 'S2', 'HA']",2000_54_2210_A9542,0.171
"['D4', 'D5']","['S9', 'S2', 'DQ']",2000_54_3200_Q9542,0.205
"['D4', 'D5']","['S9', 'S2', 'C9']",2000_54_2210_99542,0.185
"['D4', 'D5']","['S9', 'S2', 'H5']",2000_54_2210_95542,0.593
"['D4', 'D5']","['S9', 'S2', 'C2']",2000_54_2210_95422,0.168
"['D4', 'D5']","['S9', 'S2', 'C7']",2000_54_2210_97542,0.175
"['D4', 'D5']","['S9', 'S2', 'C6']",2000_54_2210_96542,0.274
"['D4', 'D5']","['S9', 'S2', 'C4']",2000_54_2210_95442,0.616
"['D4', 'D5']","['S9', 'S2', 'HT']",2000_54_2210_T9542,0.164
"['D4', 'D5']","['S9', 'S2', 'DA']",2000_54_3200_A9542,0.218
"['D4', 'D5']","['S9', 'S2', 'D9']",2000_54_3200_99542,0.227
"['D4', 'D5']","['S9', 'S2', 'D2']",2000_54_3200_95422,0.204
"['D4', 'D5']","['S9', 'HQ', 'S7']",2000_54_2210_Q9754,0.165
"['D4', 'D5']","['S9', 'HQ', 'S6']",2000_54_2210_Q9654,0.19
"['D4', 'D5']","['S9', 'HQ', 'S5']",2000_54_2210_Q9554,0.547
"['D4', 'D5']","['S9', 'HQ', 'S4']",2000_54_2210_Q9544,0.561
"['D4', 'D5']","['S9', 'HQ', 'HJ']",2000_54_2210_QJ954,0.155
"['D4', 'D5']","['S9', 'HQ', 'HK']",2000_54_2210_KQ954,0.153
"['D4', 'D5']","['S9', 'HQ', 'DT']",2000_54_3110_QT954,0.2
"['D4', 'D5']","['S9', 'HQ', 'HA']",2000_54_2210_AQ954,0.147
"['D4', 'D5']","['S9', 'HQ', 'DQ']",2000_54_3110_QQ954,0.215
"['D4', 'D5']","['S9', 'HQ', 'C9']",2000_54_2111_Q9954,0.174
"['D4', 'D5']","['S9', 'HQ', 'C8']",2000_54_2111_Q9854,0.162
"['D4', 'D5']","['S9', 'HQ', 'C3']",2000_54_2111_Q9543,0.193
"['D4', 'D5']","['S9', 'HQ', 'C2']",2000_54_2111_Q9542,0.17
"['D4', 'D5']","['S9', 'HQ', 'C7']",2000_54_2111_Q9754,0.188
"['D4', 'D5']","['S9', 'HQ', 'C6']",2000_54_2111_Q9654,0.207
"['D4', 'D5']","['S9', 'HQ', 'C5']",2000_54_2111_Q9554,0.585
"['D4', 'D5']","['S9', 'HQ', 'C4']",2000_54_2111_Q9544,0.547
"['D4', 'D5']","['S9', 'HQ', 'CK']",2000_54_2111_KQ954,0.162
"['D4', 'D5']","['S9', 'HQ', 'CJ']",2000_54_2111_QJ954,0.151
"['D4', 'D5']","['S9', 'HQ', 'CA']",2000_54_2111_AQ954,0.154
"['D4', 'D5']","['S9', 'HQ', 'HT']",2000_54_2210_QT954,0.137
"['D4', 'D5']","['S9', 'HQ', 'CQ']",2000_54_2111_QQ954,0.198
"['D4', 'D5']","['S9', 'HQ', 'DA']",2000_54_3110_AQ954,0.207
"['D4', 'D5']","['S9', 'HQ', 'CT']",2000_54_2111_QT954,0.144
"['D4', 'D5']","['S9', 'HQ', 'H9']",2000_54_2210_Q9954,0.164
"['D4', 'D5']","['S9', 'HQ', 'SQ']",2000_54_2210_QQ954,0.144
"['D4', 'D5']","['S9', 'HQ', 'D8']",2000_54_3110_Q9854,0.177
"['D4', 'D5']","['S9', 'HQ', 'D9']",2000_54_3110_Q9954,0.241
"['D4', 'D5']","['S9', 'HQ', 'D6']",2000_54_3110_Q9654,0.259
"['D4', 'D5']","['S9', 'HQ', 'D7']",2000_54_3110_Q9754,0.238
"['D4', 'D5']","['S9', 'HQ', 'D2']",2000_54_3110_Q9542,0.205
"['D4', 'D5']","['S9', 'HQ', 'D3']",2000_54_3110_Q9543,0.219
"['D4', 'D5']","['S9', 'S7', 'S6']",2000_54_3200_97654,0.292
"['D4', 'D5']","['S9', 'S7', 'S5']",2000_54_3200_97554,0.456
"['D4', 'D5']","['S9', 'S7', 'S4']",2000_54_3200_97544,0.432
"['D4', 'D5']","['S9', 'S7', 'HJ']",2000_54_2210_J9754,0.169
"['D4', 'D5']","['S9', 'S7', 'HK']",2000_54_2210_K9754,0.198
"['D4', 'D5']","['S9', 'S7', 'DT']",2000_54_3200_T9754,0.219
"['D4', 'D5']","['S9', 'S7', 'HA']",2000_54_2210_A9754,0.169
"['D4', 'D5']","['S9', 'S7', 'DQ']",2000_54_3200_Q9754,0.23
"['D4', 'D5']","['S9', 'S7', 'C9']",2000_54_2210_99754,0.192
"['D4', 'D5']","['S9', 'S7', 'H5']",2000_54_2210_97554,0.503
"['D4', 'D5']","['S9', 'S7', 'C7']",2000_54_2210_97754,0.18
