holeCards,commCards,Key,Value
"['D2', 'C3']","['HA', 'C6', 'CA']",1100_32_3110_AA632,0.141
"['D2', 'C3']","['HA', 'C5', 'CA']",1100_32_3110_AA532,0.154
"['D2', 'C3']","['HA', 'C4', 'CA']",1100_32_3110_AA432,0.176
"['D2', 'C3']","['HA', 'CA', 'DA']",1100_32_2210_AAA32,0.165
"['D2', 'C3']","['HA', 'CA', 'SA']",1100_32_2111_AAA32,0.18
"['D2', 'C3']","['HA', 'DA', 'D3']",1100_32_3110_AA332,0.561
"['D2', 'C3']","['DQ', 'C9', 'C8']",1100_32_3200_Q9832,0.139
"['D2', 'C3']","['DQ', 'C9', 'C2']",1100_32_3200_Q9322,0.546
"['D2', 'C3']","['DQ', 'C9', 'C7']",1100_32_3200_Q9732,0.155
"['D2', 'C3']","['DQ', 'C9', 'C6']",1100_32_3200_Q9632,0.179
"['D2', 'C3']","['DQ', 'C9', 'C5']",1100_32_3200_Q9532,0.163
"['D2', 'C3']","['DQ', 'C9', 'C4']",1100_32_3200_Q9432,0.171
"['D2', 'C3']","['DQ', 'C9', 'CA']",1100_32_3200_AQ932,0.143
"['D2', 'C3']","['DQ', 'C9', 'CQ']",1100_32_3200_QQ932,0.175
"['D2', 'C3']","['DQ', 'C9', 'D9']",1100_32_3200_Q9932,0.142
"['D2', 'C3']","['DQ', 'C9', 'D3']",1100_32_3200_Q9332,0.549
"['D2', 'C3']","['DQ', 'C8', 'C2']",1100_32_3200_Q8322,0.549
"['D2', 'C3']","['DQ', 'C8', 'C7']",1100_32_3200_Q8732,0.148
"['D2', 'C3']","['DQ', 'C8', 'C6']",1100_32_3200_Q8632,0.156
"['D2', 'C3']","['DQ', 'C8', 'C5']",1100_32_3200_Q8532,0.169
"['D2', 'C3']","['DQ', 'C8', 'C4']",1100_32_3200_Q8432,0.172
"['D2', 'C3']","['DQ', 'C8', 'CA']",1100_32_3200_AQ832,0.14
"['D2', 'C3']","['DQ', 'C8', 'CQ']",1100_32_3200_QQ832,0.158
"['D2', 'C3']","['DQ', 'C8', 'D8']",1100_32_3200_Q8832,0.139
"['D2', 'C3']","['DQ', 'C8', 'D3']",1100_32_3200_Q8332,0.56
"['D2', 'C3']","['DQ', 'C2', 'C7']",1100_32_3200_Q7322,0.544
"['D2', 'C3']","['DQ', 'C2', 'C6']",1100_32_3200_Q6322,0.535
"['D2', 'C3']","['DQ', 'C2', 'C5']",1100_32_3200_Q5322,0.542
"['D2', 'C3']","['DQ', 'C2', 'C4']",1100_32_3200_Q4322,0.555
"['D2', 'C3']","['DQ', 'C2', 'CA']",1100_32_3200_AQ322,0.564
"['D2', 'C3']","['DQ', 'C2', 'CQ']",1100_32_3200_QQ322,0.574
"['D2', 'C3']","['DQ', 'C2', 'D3']",1100_32_3200_Q3322,0.864
"['D2', 'C3']","['DQ', 'C7', 'C6']",1100_32_3200_Q7632,0.176
"['D2', 'C3']","['DQ', 'C7', 'C5']",1100_32_3200_Q7532,0.142
"['D2', 'C3']","['DQ', 'C7', 'C4']",1100_32_3200_Q7432,0.135
"['D2', 'C3']","['DQ', 'C7', 'CA']",1100_32_3200_AQ732,0.132
"['D2', 'C3']","['DQ', 'C7', 'CQ']",1100_32_3200_QQ732,0.153
"['D2', 'C3']","['DQ', 'C7', 'D7']",1100_32_3200_Q7732,0.171
"['D2', 'C3']","['DQ', 'C7', 'D3']",1100_32_3200_Q7332,0.539
"['D2', 'C3']","['DQ', 'C6', 'C5']",1100_32_3200_Q6532,0.278
"['D2', 'C3']","['DQ', 'C6', 'C4']",1100_32_3200_Q6432,0.255
"['D2', 'C3']","['DQ', 'C6', 'CA']",1100_32_3200_AQ632,0.163
"['D2', 'C3']","['DQ', 'C6', 'CQ']",1100_32_3200_QQ632,0.178
"['D2', 'C3']","['DQ', 'C6', 'D6']",1100_32_3200_Q6632,0.177
"['D2', 'C3']","['DQ', 'C6', 'D3']",1100_32_3200_Q6332,0.56
"['D2', 'C3']","['DQ', 'C5', 'C4']",1100_32_3200_Q5432,0.263
"['D2', 'C3']","['DQ', 'C5', 'CA']",1100_32_3200_AQ532,0.159
"['D2', 'C3']","['DQ', 'C5', 'CQ']",1100_32_3200_QQ532,0.183
"['D2', 'C3']","['DQ', 'C5', 'D5']",1100_32_3200_Q5532,0.174
"['D2', 'C3']","['DQ', 'C5', 'D3']",1100_32_3200_Q5332,0.535
"['D2', 'C3']","['DQ', 'C4', 'CA']",1100_32_3200_AQ432,0.146
"['D2', 'C3']","['DQ', 'C4', 'CQ']",1100_32_3200_QQ432,0.166
"['D2', 'C3']","['DQ', 'C4', 'D4']",1100_32_3200_Q4432,0.174
"['D2', 'C3']","['DQ', 'C4', 'D3']",1100_32_3200_Q4332,0.541
"['D2', 'C3']","['DQ', 'CA', 'CQ']",1100_32_3200_AQQ32,0.156
"['D2', 'C3']","['DQ', 'CA', 'DA']",1100_32_3200_AAQ32,0.151
"['D2', 'C3']","['DQ', 'CA', 'D3']",1100_32_3200_AQ332,0.519
"['D2', 'C3']","['DQ', 'CQ', 'D3']",1100_32_3200_QQ332,0.579
"['D2', 'C3']","['DQ', 'DA', 'D4']",1100_32_4100_AQ432,0.297
"['D2', 'C3']","['DQ', 'DA', 'D8']",1100_32_4100_AQ832,0.271
"['D2', 'C3']","['DQ', 'DA', 'D9']",1100_32_4100_AQ932,0.304
"['D2', 'C3']","['DQ', 'DA', 'D6']",1100_32_4100_AQ632,0.286
"['D2', 'C3']","['DQ', 'DA', 'D7']",1100_32_4100_AQ732,0.268
"['D2', 'C3']","['DQ', 'DA', 'D5']",1100_32_4100_AQ532,0.272
"['D2', 'C3']","['DQ', 'DA', 'D3']",1100_32_4100_AQ332,0.586
"['D2', 'C3']","['DQ', 'D4', 'D8']",1100_32_4100_Q8432,0.293
"['D2', 'C3']","['DQ', 'D4', 'D9']",1100_32_4100_Q9432,0.293
"['D2', 'C3']","['DQ', 'D4', 'D6']",1100_32_4100_Q6432,0.363
"['D2', 'C3']","['DQ', 'D4', 'D7']",1100_32_4100_Q7432,0.286
"['D2', 'C3']","['DQ', 'D4', 'D5']",1100_32_4100_Q5432,0.383
"['D2', 'C3']","['DQ', 'D4', 'D3']",1100_32_4100_Q4332,0.578
"['D2', 'C3']","['DQ', 'D8', 'D9']",1100_32_4100_Q9832,0.267
"['D2', 'C3']","['DQ', 'D8', 'D6']",1100_32_4100_Q8632,0.276
"['D2', 'C3']","['DQ', 'D8', 'D7']",1100_32_4100_Q8732,0.28
"['D2', 'C3']","['DQ', 'D8', 'D5']",1100_32_4100_Q8532,0.275
"['D2', 'C3']","['DQ', 'D8', 'D3']",1100_32_4100_Q8332,0.57
"['D2', 'C3']","['DQ', 'D9', 'D6']",1100_32_4100_Q9632,0.284
"['D2', 'C3']","['DQ', 'D9', 'D7']",1100_32_4100_Q9732,0.274
"['D2', 'C3']","['DQ', 'D9', 'D5']",1100_32_4100_Q9532,0.277
"['D2', 'C3']","['DQ', 'D9', 'D3']",1100_32_4100_Q9332,0.548
"['D2', 'C3']","['DQ', 'D6', 'D7']",1100_32_4100_Q7632,0.302
"['D2', 'C3']","['DQ', 'D6', 'D5']",1100_32_4100_Q6532,0.348
"['D2', 'C3']","['DQ', 'D6', 'D3']",1100_32_4100_Q6332,0.572
"['D2', 'C3']","['DQ', 'D7', 'D5']",1100_32_4100_Q7532,0.29
