holeCards,commCards,Key,Value
"['D4', 'D6']","['S2', 'HJ', 'H2']",2000_64_2210_J6422,0.188
"['D4', 'D6']","['S2', 'HJ', 'SJ']",2000_64_2210_JJ642,0.206
"['D4', 'D6']","['S2', 'HK', 'HA']",2000_64_2210_AK642,0.189
"['D4', 'D6']","['S2', 'HK', 'C2']",2000_64_2111_K6422,0.194
"['D4', 'D6']","['S2', 'HK', 'C7']",2000_64_2111_K7642,0.225
"['D4', 'D6']","['S2', 'HK', 'C6']",2000_64_2111_K6642,0.659
"['D4', 'D6']","['S2', 'HK', 'C5']",2000_64_2111_K6542,0.309
"['D4', 'D6']","['S2', 'HK', 'C4']",2000_64_2111_K6442,0.679
"['D4', 'D6']","['S2', 'HK', 'CK']",2000_64_2111_KK642,0.232
"['D4', 'D6']","['S2', 'HK', 'CA']",2000_64_2111_AK642,0.193
"['D4', 'D6']","['S2', 'HK', 'HT']",2000_64_2210_KT642,0.183
"['D4', 'D6']","['S2', 'HK', 'CT']",2000_64_2111_KT642,0.174
"['D4', 'D6']","['S2', 'HK', 'H2']",2000_64_2210_K6422,0.201
"['D4', 'D6']","['S2', 'HK', 'SK']",2000_64_2210_KK642,0.227
"['D4', 'D6']","['S2', 'DT', 'HA']",2000_64_3110_AT642,0.255
"['D4', 'D6']","['S2', 'DT', 'DQ']",2000_64_4100_QT642,0.491
"['D4', 'D6']","['S2', 'DT', 'H5']",2000_64_3110_T6542,0.363
"['D4', 'D6']","['S2', 'DT', 'C2']",2000_64_3110_T6422,0.246
"['D4', 'D6']","['S2', 'DT', 'C7']",2000_64_3110_T7642,0.262
"['D4', 'D6']","['S2', 'DT', 'C6']",2000_64_3110_T6642,0.655
"['D4', 'D6']","['S2', 'DT', 'C4']",2000_64_3110_T6442,0.662
"['D4', 'D6']","['S2', 'DT', 'HT']",2000_64_3110_TT642,0.257
"['D4', 'D6']","['S2', 'DT', 'DA']",2000_64_4100_AT642,0.464
"['D4', 'D6']","['S2', 'DT', 'SQ']",2000_64_3200_QT642,0.22
"['D4', 'D6']","['S2', 'DT', 'ST']",2000_64_3200_TT642,0.262
"['D4', 'D6']","['S2', 'DT', 'D7']",2000_64_4100_T7642,0.499
"['D4', 'D6']","['S2', 'DT', 'SA']",2000_64_3200_AT642,0.228
"['D4', 'D6']","['S2', 'DT', 'D5']",2000_64_4100_T6542,0.539
"['D4', 'D6']","['S2', 'DT', 'D2']",2000_64_4100_T6422,0.46
"['D4', 'D6']","['S2', 'HA', 'C2']",2000_64_2111_A6422,0.191
"['D4', 'D6']","['S2', 'HA', 'C7']",2000_64_2111_A7642,0.224
"['D4', 'D6']","['S2', 'HA', 'C6']",2000_64_2111_A6642,0.655
"['D4', 'D6']","['S2', 'HA', 'C5']",2000_64_2111_A6542,0.346
"['D4', 'D6']","['S2', 'HA', 'C4']",2000_64_2111_A6442,0.679
"['D4', 'D6']","['S2', 'HA', 'CA']",2000_64_2111_AA642,0.239
"['D4', 'D6']","['S2', 'HA', 'HT']",2000_64_2210_AT642,0.187
"['D4', 'D6']","['S2', 'HA', 'DA']",2000_64_3110_AA642,0.253
"['D4', 'D6']","['S2', 'HA', 'CT']",2000_64_2111_AT642,0.189
"['D4', 'D6']","['S2', 'HA', 'H2']",2000_64_2210_A6422,0.192
"['D4', 'D6']","['S2', 'HA', 'D7']",2000_64_3110_A7642,0.247
"['D4', 'D6']","['S2', 'HA', 'SA']",2000_64_2210_AA642,0.226
"['D4', 'D6']","['S2', 'HA', 'D5']",2000_64_3110_A6542,0.352
"['D4', 'D6']","['S2', 'HA', 'D2']",2000_64_3110_A6422,0.235
"['D4', 'D6']","['S2', 'DQ', 'C6']",2000_64_3110_Q6642,0.686
"['D4', 'D6']","['S2', 'DQ', 'C4']",2000_64_3110_Q6442,0.668
"['D4', 'D6']","['S2', 'DQ', 'DA']",2000_64_4100_AQ642,0.458
"['D4', 'D6']","['S2', 'DQ', 'SQ']",2000_64_3200_QQ642,0.276
"['D4', 'D6']","['S2', 'DQ', 'D7']",2000_64_4100_Q7642,0.482
"['D4', 'D6']","['S2', 'DQ', 'SA']",2000_64_3200_AQ642,0.223
"['D4', 'D6']","['S2', 'DQ', 'D5']",2000_64_4100_Q6542,0.548
"['D4', 'D6']","['S2', 'DQ', 'D2']",2000_64_4100_Q6422,0.458
"['D4', 'D6']","['S2', 'H5', 'C2']",2000_64_2111_65422,0.319
"['D4', 'D6']","['S2', 'H5', 'C7']",2000_64_2111_76542,0.433
"['D4', 'D6']","['S2', 'H5', 'C6']",2000_64_2111_66542,0.7
"['D4', 'D6']","['S2', 'H5', 'C5']",2000_64_2111_65542,0.347
"['D4', 'D6']","['S2', 'H5', 'C4']",2000_64_2111_65442,0.656
"['D4', 'D6']","['S2', 'H5', 'CT']",2000_64_2111_T6542,0.355
"['D4', 'D6']","['S2', 'H5', 'D7']",2000_64_3110_76542,0.453
"['D4', 'D6']","['S2', 'H5', 'D5']",2000_64_3110_65542,0.367
"['D4', 'D6']","['S2', 'H5', 'D2']",2000_64_3110_65422,0.327
"['D4', 'D6']","['S2', 'C2', 'HT']",2000_64_2111_T6422,0.2
"['D4', 'D6']","['S2', 'C2', 'CT']",2000_64_2210_T6422,0.188
"['D4', 'D6']","['S2', 'C2', 'H2']",2000_64_2111_64222,0.226
"['D4', 'D6']","['S2', 'C2', 'H6']",2000_64_2111_66422,0.655
"['D4', 'D6']","['S2', 'C2', 'H7']",2000_64_2111_76422,0.213
"['D4', 'D6']","['S2', 'C2', 'H4']",2000_64_2111_64422,0.659
"['D4', 'D6']","['S2', 'C2', 'D7']",2000_64_3110_76422,0.25
"['D4', 'D6']","['S2', 'C2', 'D2']",2000_64_3110_64222,0.258
"['D4', 'D6']","['S2', 'C7', 'HT']",2000_64_2111_T7642,0.214
"['D4', 'D6']","['S2', 'C7', 'H6']",2000_64_2111_76642,0.64
"['D4', 'D6']","['S2', 'C7', 'H7']",2000_64_2111_77642,0.229
"['D4', 'D6']","['S2', 'C7', 'H4']",2000_64_2111_76442,0.639
"['D4', 'D6']","['S2', 'C7', 'D7']",2000_64_3110_77642,0.247
"['D4', 'D6']","['S2', 'C6', 'HT']",2000_64_2111_T6642,0.651
"['D4', 'D6']","['S2', 'C6', 'DA']",2000_64_3110_A6642,0.676
"['D4', 'D6']","['S2', 'C6', 'H6']",2000_64_2111_66642,0.949
"['D4', 'D6']","['S2', 'C6', 'H4']",2000_64_2111_66442,0.813
"['D4', 'D6']","['S2', 'C6', 'D7']",2000_64_3110_76642,0.656
"['D4', 'D6']","['S2', 'C6', 'D5']",2000_64_3110_66542,0.719
"['D4', 'D6']","['S2', 'C6', 'D2']",2000_64_3110_66422,0.644
"['D4', 'D6']","['S2', 'C4', 'HT']",2000_64_2111_T6442,0.648
"['D4', 'D6']","['S2', 'C4', 'DA']",2000_64_3110_A6442,0.682
"['D4', 'D6']","['S2', 'C4', 'H4']",2000_64_2111_64442,0.948
"['D4', 'D6']","['S2', 'C4', 'D7']",2000_64_3110_76442,0.644
"['D4', 'D6']","['S2', 'C4', 'D5']",2000_64_3110_65442,0.667
